"NOM";"CP";"URL";"SOUS_TYPE";"LATTI";"LONGI";"Public";"ORGANISME";"Type";"GCD";"COMMUNE"
"musée Agathois";"34300";"www.museeagathois.fr/";"Archeologie";43.311837;3.468587;"";"";"Musée";"";"AGDE"
"musée municipal";"34110";"www.frontignan.fr/mes-loisirs/culture-patrimoine-festivites/equipements-culturels/musee-municipal/";"Archeologie";43.447077;3.755055;"";"";"Musée";"";"FRONTIGNAN"
"musée de l’hôtel d Espeyran";"34000";"www.montpellier3m.fr/equipement/musee-des-arts-decoratifs-sabatier-despeyran";"Art";43.611112;3.880183;"";"";"Musée";"";"MONTPELLIER"
"musée Municipal";"34570";"murviel.fr/musee-archeologique/";"Archeologie";43.604855;3.736827;"";"";"Musée";"";"MURVIEL-LES-MONTPELLIER"
"musée d Art Moderne";"66400";"www.musee-ceret.com/";"Art";42.485799;2.74849;"";"";"Musée";"";"CERET"
"musée municipal Jean Peské";"66190";"museecollioure.com/";"Art";42.524426;3.089905;"";"";"Musée";"";"COLLIOURE"
"musée des Beaux-Arts de Limoges – Palais de l Evêché";"87000";"www.museebal.fr/";"Archeologie";45.828784;1.265445;"";"";"Musée";"";"LIMOGES"
"musée municipal des émaux et faïences";"54400";"museedesemaux.wordpress.com/";"Arts décoratif";49.519776;5.760104;"";"";"Musée";"";"LONGWY"
"musée de l Ecole de Nancy";"54000";"www.ecole-de-nancy.com/web/";"Arts décoratif";48.680494;6.166351;"";"";"Musée";"";"NANCY"
"musée de la bière et du pays de Stenay";"55700";"museedelabiere.com/";"Histoire";49.48769;5.186786;"";"";"Musée";"";"STENAY"
"musée militaire et Erckmann-Chatrian";"57370";"www.phalsbourg.fr/La_culture__les_loisirs/Le_musee";"Histoire";48.766548;7.259055;"";"";"Musée";"";"PHALSBOURG"
"musée départemental d art ancien et contemporain";"88000";"mudaac.vosges.fr/";"Archeologie";48.17326;6.446595;"";"";"Musée";"";"EPINAL"
"musée des beaux-arts Denys Puech";"12000";"musee-denys-puech.rodezagglo.fr/";"Art";44.349287;2.578079;"";"";"Musée";"";"RODEZ"
"musée des arts et métiers";"12330";"musees.aveyron.fr/thematiques/mus%C3%A9e%20de%20salles%20la%20source";"Art";44.430577;2.483923;"";"";"Musée";"";"SALLES-LA-SOURCE"
"musée du Charroi Rural";"12120";"www.musee-charroi-rural-salmiech.fr/";"Sciences de la nature";44.202302;2.587674;"";"";"Musée";"";"SALMIECH"
