"NOM";"CP";"LATTI";"LONGI";"Site";"SOUS_TYPE";"COMMUNE"
"Courtscourts";"83690";43.59358009;6.31068297;"www.festivalcourtscourts.fr";"Cinéma";"TOURTOUR"
"Les Debroussailleuses";"49340";47.1227108;-0.80147562;"http://lesdebroussailleuses.docteurparadi.com";"Musique";"TREMENTINES"
"Off-Courts Trouville";"14360";49.37212468;0.10212347;"www.off-courts.com";"Cinéma";"TROUVILLE-SUR-MER"
"Exil On Book Street";"10000";48.29670996;4.07827968;"https://www.facebook.com/exileonbookstreet/";"Livre";"TROYES"
"Herri Uzta";"64480";43.4018073;-1.47518985;"http://herrisoinu.eus/fr/";"Spectacle vivant";"USTARITZ"
"L Eveil du Boucan";"56000";47.65974938;-2.75714329;"www.noznroll.org";"Musique";"VANNES"
"Les Estivales de La Bd de Montalivet";"33930";45.33946728;-1.10059258;"https://www.facebook.com/events/montalivet/festival-bd-de-vendays-montalivet/3789912971019436/";"Livre";"VENDAYS-MONTALIVET"
"Magnifique Printemps !";"69200";45.70377288;4.88137668;"https://www.magnifiqueprintemps.fr/";"Livre";"VENISSIEUX"
"Des croches et la lune ?";"82330";44.18475298;1.8746468;"https://descrochesetlalune.jimdofree.com/";"Musique";"VERFEIL"
"Musikair";"45700";47.98301875;2.70512428;"www.musikair.fr";"Musique";"VILLEMANDEUR"
"Festival A Vif";"14130";48.85124982;-0.88960191;"https://www.lepreaucdn.fr/2020-2021/festival-vif";"Spectacle vivant";"VIRE-NORMANDIE"
"Les Sportiviales";"79370";48.11408151;-1.19370721;"https://www.les-sportiviales-vitre.com/";"Livre";"VITRE"
"Festi Coccinelle";"10130";48.09231816;3.92346188;"www.festicoccinelle.org";"Musique";"AUXON"
"Les automnales";"27380";43.72111188;5.24576645;"foyer-rural-charleval.org";"Spectacle vivant";"CHARLEVAL"
"Jazzellerault";"86100";46.81567002;0.55259898;"http://www.festival-jazzellerault.com/";"Musique";"CHATELLERAULT"
"Overdrive";"80320";49.81693597;2.80153906;"non renseigne";"Musique";"CHAULNES"
"Les soirées d été";"84220";43.90901924;5.19801979;"festival-gordes.com";"Musique";"GORDES"
