"TYPE_DOMAINE";"SOUS_TYPE";"NOM";"URL";"LATTI";"LONGI";"JAUGE";"COMMUNE";"CP";"GCD";"ORGANISME";"Public"
"Theatre";"Musique";"Association Zebrock";"";48.894902;2.452203;;"NOISY-LE-SEC";"93130";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Musique";"CIRDOC-Institut occitan de cultura";"";43.345393;3.223173;;"BÉZIERS";"74290";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Musique";"Ensemble intercontemporain";"";48.889377;2.394072;;"PARIS";"75019";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Musique";"Festival Baroque";"";49.0529368;2.076939;;"PONTOISE";"95000";"";"Organisme privé";"Tous publics"
"Theatre";"Théâtre et Spectacles";"Le Grand T";"";47.230087;-1.539806;;"NANTES";"44000";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Musique";"Orchestre de Douai";"";50.374203;3.086093;;"DOUAI";"59500";"";"Collectivité territoriale";"Tous publics"
"Theatre";"Musique";"Philharmonie de Paris";"";48.889311;2.393824;;"PARIS";"75019";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Musique";"Réunion des Opéras de France";"";48.871881;2.311286;;"PARIS";"75008";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Enfants"
"Theatre";"Théâtre et Spectacles";"Centre Dramatique National de Normandie-Rouen";"";49.446043;1.099834;;"ROUEN";"76000";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Théâtre et Spectacles";"Théâtre du Châtelet";"";48.857845;2.345636;;"PARIS";"75001";"";"Collectivité territoriale";"Tous publics"
"Theatre";"Théâtre et Spectacles";"Comédie-Française";"";48.863356;2.336069;;"PARIS";"75001";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Musique";"VIlle d Angers";"";48.870311;2.485395;;"ANGERS";"49000";"";"Collectivité territoriale";"Tous publics"
"Theatre";"Théâtre et Spectacles";"France Télévisions";"";48.839003;2.270817;;"PARIS";"75015";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Théâtre et Spectacles";"Les Livreurs";"";48.861068;2.286192;;"PARIS";"75016";"";"Organisme privé";"Tous publics"
"Theatre";"Musique";"Le Palais royal";"";48.85885;2.284524;;"PARIS";"75016";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Théâtre et Spectacles";"Théâtre national de Bretagne";"";48.107834;-1.672751;;"RENNES";"35000";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Danse";"Établissement public du parc et de la grande Halle de la Villette";"";48.888952;2.392454;;"PARIS";"75019";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Musique";"Opéra national de Paris";"";48.870932;2.332168;;"PARIS";"75009";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Musique";"Le Mans Jazz";"";48.007478;0.188943;;"LE MANS";"72000";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Musique";"Les Trans musicales de Rennes";"";48.106961;-1.695234;;"RENNES";"35000";"";"Organisme privé";"Tous publics"
"Theatre";"Musique";"Air Productions";"";48.874998;2.312269;;"PARIS";"75008";"";"Organisme privé";"Tous publics"
"Theatre";"Musique";"Association - Jeunesses musicales de France";"";48.85473;2.356399;;"PARIS";"75004";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Parents / Éducateurs"
"Theatre";"Musique";"Bibliothèque nationale de France (BNF)";"";48.833194;2.378216;;"PARIS";"75013";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Théâtre et Spectacles";"Centre Dramatique National - Besançon";"";47.2427;6.03131;;"BESANÇON";"25000";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Danse";"Chaillot - Théâtre national de la Danse";"";48.862905;2.288342;;"PARIS";"75016";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Danse";"Compagnie propos";"";45.735339;4.881126;;"LYON";"69490";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Théâtre et Spectacles";"Hippocampe - Association pour la recherche en Mime Corporel";"";48.866879;2.375511;;"PARIS";"75011";"";"Organisme privé";"Tous publics"
"Theatre";"Musique";"Médiathèques de Suresnes";"";48.870435;2.228909;;"SURESNES";"92150";"";"Collectivité territoriale";"Tous publics"
"Theatre";"Musique";"Musée du quai Branly - Jacques Chirac";"";48.8615;2.297744;;"PARIS";"75007";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Théâtre et Spectacles";"Odéon - Théâtre de l Europe";"";48.849898;2.338717;;"PARIS";"75006";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Musique";"Orchestre de l Alliance";"";48.857216;2.30318;;"PARIS";"75007";"";"Organisme privé";"Tous publics"
"Theatre";"Musique";"Radio France";"";48.852149;2.279529;;"PARIS";"75016";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Danse";"TAP - Théâtre Auditorium";"";46.583617;0.337101;;"POITIERS";"86000";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Théâtre et Spectacles";"Théâtre du Soleil";"";48.834716;2.449079;;"PARIS";"75012";"";"Collectivité territoriale";"Tous publics"
"Theatre";"Musique";"Insula orchestra";"";48.827738;2.234788;;"BOULOGNE-BILLANCOURT";"92100";"";"Organisme privé";"Tous publics"
"Theatre";"Musique";"Association Musique & Santé";"";43.128656;5.792437;;"SANARY SUR MER";"83170";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Musique";"Opéra Comique";"";48.870671;2.337655;;"PARIS";"75002";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Musique";"Opéra de Limoges";"";45.832008;1.258511;;"LIMOGES";"87000";"";"Collectivité territoriale";"Tous publics"
"Theatre";"Théâtre et Spectacles";"Théâtre de la Colline";"";48.864546;2.397659;;"PARIS";"75020";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Théâtre et Spectacles";"Le Festival d Automne à Paris";"";48.861188;2.340468;;"PARIS";"75001";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Musique";"Opéra National de Bordeaux";"";44.842395;-0.574745;;"BORDEAUX";"33000";"1 - Grands centres urbains";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Danse";"Tous danseurs";"";48.859;2.347;;"PARIS";"75016";"";"Organisme privé";"Tous publics"
"Theatre";"Musique";"Association Française des Orchestres";"";48.883584;2.361685;;"PARIS";"75010";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
"Theatre";"Musique";"Fondation Les Arts Florissants - William Christie";"";46.552575;-1.012612;;"THIRÉ";"85670";"";"Organisme privé";"Tous publics"
"Theatre";"Musique";"Orchestre symphonique Mulhouse";"";47.753808;7.349128;;"MULHOUSE";"68100";"";"Collectivité territoriale";"Tous publics"
"Theatre";"Musique";"Institut de recherche et coordination acoustique/musique (Ircam)";"";49.211203;4.026194;;"PARIS";"75004";"";"Ministère de la Culture ou opérateur national";"Tous publics"
"Theatre";"Musique";"L Astrolabe";"";48.681383;6.178359;;"ORLÉANS";"67000";"";"Organisme labellisé. conventionné ou subventionné par le ministère de la culture";"Tous publics"
