"CP";"AMPLITUDE_HORAIRE";"NOM";"COMMUNE";"POPULATION";"SOUS_TYPE";"Type";"Url";"GCD";"NB_BENEVOLE";"NB_SALARIE";"SURFACE";"LATTI";"LONGI"
"16290";;"Bibliothèque Municipale";"Hiersac";1166;"Bibliothèque intercommunale";"Bibliotheque";"";"";3;1;72;45.669021;0.009103
"31410";;"Médiathèque municipale";"Noé";2976;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;342;43.357685;1.277825
"49110";;"Bibliothèque de La Chapelle-Aubry";"Montrevault-sur-Èvre";15985;"Bibliothèque municipale";"Bibliotheque";"";"";6;0;32;47.280957;-1.115847
"66360";;"Médiathèque d Olette";"Olette";356;"Bibliothèque municipale";"Bibliotheque";"";"";8;0;70;42.554927;2.269953
"70400";;"Bibliotheque de Chenebier";"Chenebier";710;"Bibliothèque municipale";"Bibliotheque";"";"";4;0;40;47.641521;6.713922
"97315";;"Bibliothèque municipale";"Sinnamary";2919;"Bibliothèque municipale";"Bibliotheque";"";"";0;6;96;5.374799;-52.958372
"70800";;"Bibliotheque de Bourguignon les conflans";"Bourguignon-lès-Conflans";150;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;15;47.806144;6.163804
"70120";;"Bibliotheque de la Roche-Morey";"La Roche-Morey";289;"Bibliothèque intercommunale";"Bibliotheque";"";"";1;0;30;47.709097;5.742388
"31330";;"Bibliotheque Municipale";"Saint-Cézert";435;"Bibliothèque municipale";"Bibliotheque";"";"";6;1;38;43.782585;1.195562
"85170";;"Médiathèque de Belleville-sur-Vie";"Bellevigny";6218;"Bibliothèque intercommunale";"Bibliotheque";"";"";12;2;350;46.782054;-1.429907
"32270";;"Bibliothèque d Aubiet";"Aubiet";1136;"Bibliothèque municipale";"Bibliotheque";"";"";2;0;52;43.646618;0.783745
"32150";;"Médiathèque Municipale";"Cazaubon";1690;"Bibliothèque municipale";"Bibliotheque";"";"";2;1;126;43.935301;-0.073827
