CP,Type,NOM,COMMUNE,FAUTEUIL,Public,ECRAN,SOUS_TYPE_THEMATIQUE,GCD,LATTI,LONGI,codeReg,nomReg,numdep,nomdept
64000,Cinéma,Le Melies,PAU,412.0,,2.0,Cinéma,1 - Grands centres urbains,43.30161771,-0.37227146,75,Nouvelle-Aquitaine,64,PYRENEES-ATLANTIQUES
65420,Cinéma,Meridien,IBOS,1052.0,,4.0,Cinéma,5 - Bourgs ruraux,43.23911368,0.0120251,76,Occitanie,65,HAUTES-PYRENEES
65240,Cinéma,L Arixo,LOUDENVIELLE,107.0,,1.0,Cinéma,6 - Rural à habitat dispersé,42.79660058,0.41125848,76,Occitanie,65,HAUTES-PYRENEES
65120,Cinéma,Maison de La Vallee,LUZ-SAINT-SAUVEUR,137.0,,1.0,Cinéma,5 - Bourgs ruraux,42.87365,-0.003171,76,Occitanie,65,HAUTES-PYRENEES
65500,Cinéma,Cinevic,VIC-EN-BIGORRE,110.0,,1.0,Cinéma,5 - Bourgs ruraux,43.38727103,0.05537985,76,Occitanie,65,HAUTES-PYRENEES
66110,Cinéma,Casino Municipal,AMÉLIE-LES-BAINS-PALALDA,196.0,,1.0,Cinéma,3 - Petites villes,42.47332084,2.67034574,76,Occitanie,66,PYRENEES-ORIENTALES
66330,Cinéma,Centre Culturel,CABESTANY,235.0,,1.0,Cinéma,1 - Grands centres urbains,42.680362,2.934603,76,Occitanie,66,PYRENEES-ORIENTALES
66120,Cinéma,Casino,FONT-ROMEU-ODEILLO-VIA,237.0,,1.0,Cinéma,5 - Bourgs ruraux,42.505205,2.040244,76,Occitanie,66,PYRENEES-ORIENTALES
66220,Cinéma,Foyer Rural,SAINT-PAUL-DE-FENOUILLET,172.0,,1.0,Cinéma,5 - Bourgs ruraux,42.811446,2.505248,76,Occitanie,66,PYRENEES-ORIENTALES
67500,Cinéma,Megarex,HAGUENAU,1650.0,,10.0,Cinéma,2 - Centres urbains intermédiaires,48.79906197,7.8358396,44,Grand Est,67,BAS-RHIN
67210,Cinéma,Salle Adalric,OBERNAI,173.0,,1.0,Cinéma,2 - Centres urbains intermédiaires,48.46222163,7.47906141,44,Grand Est,67,BAS-RHIN
67600,Cinéma,Select,SÉLESTAT,594.0,,3.0,Cinéma,2 - Centres urbains intermédiaires,48.25758621,7.45205755,44,Grand Est,67,BAS-RHIN
67250,Cinéma,La Saline,SOULTZ-SOUS-FORÊTS,225.0,,1.0,Cinéma,5 - Bourgs ruraux,48.93528545,7.88347947,44,Grand Est,67,BAS-RHIN
67100,Cinéma,Vox  (Ex-Pathe Vox 1),STRASBOURG,1052.0,,7.0,Cinéma,1 - Grands centres urbains,48.58179337,7.74651654,44,Grand Est,67,BAS-RHIN
67100,Cinéma,Star Saint Exupery 1 (Ex-Etoile Plus),STRASBOURG,691.0,,5.0,Cinéma,1 - Grands centres urbains,48.58274544,7.74238498,44,Grand Est,67,BAS-RHIN
68700,Cinéma,Espace Grün,CERNAY,432.0,,1.0,Cinéma,2 - Centres urbains intermédiaires,47.80615307,7.17349915,44,Grand Est,68,HAUT-RHIN
68500,Cinéma,Florival,GUEBWILLER,740.0,,5.0,Cinéma,2 - Centres urbains intermédiaires,47.9088368,7.21093573,44,Grand Est,68,HAUT-RHIN
69440,Cinéma,Cinema Jean Carmet,MORNANT,298.0,,1.0,Cinéma,3 - Petites villes,45.61759296,4.6760675,84,Auvergne-Rhône-Alpes,69,RHONE
69310,Cinéma,Maison du Peuple,OULLINS-PIERRE-BÉNITE,88.0,,1.0,Cinéma,1 - Grands centres urbains,45.70388504,4.82315453,84,Auvergne-Rhône-Alpes,69,RHONE
69670,Cinéma,Cineval,VAUGNERAY,196.0,,1.0,Cinéma,4 - Ceintures urbaines,45.73687862,4.65785798,84,Auvergne-Rhône-Alpes,69,RHONE
69200,Cinéma,Cinema Gerard Philipe,VÉNISSIEUX,473.0,,3.0,Cinéma,1 - Grands centres urbains,45.69727938,4.86970023,84,Auvergne-Rhône-Alpes,69,RHONE
69800,Cinéma,Le Scenario,SAINT-PRIEST,395.0,,2.0,Cinéma,1 - Grands centres urbains,45.6947807,4.93665482,84,Auvergne-Rhône-Alpes,69,RHONE
71800,Cinéma,L odysee,LA_CLAYETTE,193.0,,1.0,Cinéma,5 - Bourgs ruraux,46.29037206,4.30486622,27,Bourgogne-Franche-Comté,71,SAONE-ET-LOIRE
